code	symbol
0	Control
1579	11609955
1580	11610599
1581	11610682
1582	11612883
1583	11614934
1584	11615393
1585	11617161
1586	11617407
1587	11617559
1588	11617572
1589	11618268
1590	11618368
1591	11619093
1592	11620412
1593	11620908
1594	11622
1595	11622076
1596	11622909
1597	11624161
1598	11624601
1599	11625386
1600	11625818
1601	11626164
1602	11626384
1603	11626560
1604	11626927
1605	11627238
1606	11629473
1607	11630874
1608	11631681
1609	11634093
1610	11634155
1611	11634725
1612	11636182
1613	11636713
1614	11637090
1615	11637204
1616	1163802
1617	11638442
1618	11640390
1619	11642685
1620	11644097
1621	11644425
1622	11644726
1623	11646235
1624	11646777
1625	11646823
1626	11647002
1627	11647372
1628	11647989
1629	11648276
1630	11649750
1631	11650910
1632	11652865
1633	11654378
1634	11655079
1635	11655119
1636	11655534
1637	11656518
1638	11656753
1639	11657924
1640	11658860
1641	11658872
1642	11659955
1643	11663206
1644	11663931
1645	11664426
1646	11664505
1647	11664966
1648	11667240
1649	11667893
1650	11669430
1651	11669780
1652	11670352
1653	11671
1654	11671467
1655	11672491
1656	11672905
1657	11673921
1658	11674376
1659	11674915
1660	11675994
1661	1167614
1662	1167615
1663	1167616
1664	11676373
1665	11676786
1666	11677079
1667	11677589
1668	11678481
1669	11679800
1670	11680542
1671	11682175
1672	11682374
1673	11683
1674	11683005
1675	11683556
1676	11684994
1677	11685613
1678	11685945
1679	11686
1680	11686439
1681	11686867
1682	11687907
1683	11688197
1684	11688742
1685	11688990
1686	11689583
1687	11689883
1688	11690019
1689	11691242
1690	11691484
1691	11691726
1692	11692123
1693	11693
1694	11696609
1695	11697360
1696	116976512
1697	11698848
1698	11701
1699	11703255
1700	11703284
1701	11704178
1702	11705608
1703	11705637
1704	117064650
1705	11707110
1706	117072548
1707	117072549
1708	117072550
1709	117072551
1710	117072552
1711	11709509
1712	11711142
1713	11711157
1714	11711282
1715	11712236
1716	11712649
1717	11713159
1718	11714353
1719	11715766
1720	11715767
1721	11716890
1722	11717001
1723	11717831
1724	11718911
1725	11719003
1726	11719255
1727	1172104
1728	11721847
1729	11722246
1730	11722285
1731	11722425
1732	11723560
1733	11724027
1734	11725801
1735	11725870
1736	11726563
1737	1174
1738	11741525
1739	11743399
1740	11745519
1741	11747425
1742	11749858
1743	1175
1744	11750009
1745	11751126
1746	11751549
1747	11752239
1748	11753673
1749	11754511
1750	11755040
1751	11755725
1752	117558519
