cell_line,split,name,estimator,embedding,primary_metric,L2,MSE,MAE,Spearman,Pearson,path
K562,heldout_molecules,knn_baseline_chatgpt,knn,chatgpt,L2,7.14518768653516,0.0030584135567768545,0.0260865283285394,0.23905092351008506,0.3241487370175526,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-16.435445.json
K562,heldout_molecules,knn_baseline_ecfp,knn,ecfp,L2,7.105602911560062,0.0030876858835909506,0.025904555318380568,0.20337639000937055,0.2590856606138998,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-17.098743.json
K562,heldout_molecules,knn_baseline_erg,knn,erg,L2,6.98946040281462,0.003036133530973613,0.025604575122059946,0.2002862807827056,0.27396055239522166,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-36.085984.json
K562,heldout_molecules,knn_baseline_fcfp,knn,fcfp,L2,7.112721582121291,0.0030920707094718716,0.02592712333904928,0.20214802283416572,0.2573387228727089,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-37.541910.json
K562,heldout_molecules,knn_baseline_maccs,knn,maccs,L2,7.182790843644901,0.0031153561851420355,0.026199496459489,0.2040855562734169,0.2872854423716039,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-36.117647.json
K562,heldout_molecules,knn_baseline_morgan_initialized_lpm,knn,morgan_initialized_lpm,L2,6.8457605426084625,0.0028482482135345675,0.025300012032227714,0.21588147078193676,0.3017440789766437,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-01.051965.json
K562,heldout_molecules,knn_baseline_pca,knn,pca,L2,6.001466679399643,0.002247622365232885,0.022187193859876046,0.44076178709286884,0.5601984792285499,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-01.340132.json
K562,heldout_molecules,knn_baseline_random,knn,random,L2,7.069780485837952,0.0030707938659602003,0.025792662242653485,0.2064983209057639,0.2713597066295881,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-01.298254.json
K562,heldout_molecules,knn_baseline_secfp,knn,secfp,L2,7.1010898243124805,0.0030785020656726196,0.025917706857126858,0.20651102460110657,0.26501758432402633,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-37.257482.json
K562,heldout_molecules,knn_baseline_topological,knn,topological,L2,7.086069246137944,0.0030593058201553803,0.025849970548242427,0.20858767997035665,0.26985435289737353,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-40.002300.json
K562,heldout_molecules,lasso_baseline_ChemBERTa-77M-MLM,lasso,ChemBERTa-77M-MLM,L2,7.013517224900966,0.003017935442905191,0.025621662311165246,0.21907752556795576,0.2914384210067563,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-13.152082.json
K562,heldout_molecules,lasso_baseline_ChemBERTa-77M-MTR,lasso,ChemBERTa-77M-MTR,L2,7.015677110854078,0.003007262676359993,0.025591939614345194,0.22042691489655447,0.29195071561073976,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/K562.heldout_molecules/2026-05-25T23-55-16.669435.json
