cell_line,split,name,estimator,embedding,primary_metric,L2,MSE,MAE,Spearman,Pearson,path
CVCL_0480,heldout_molecules,lasso_baseline_boltz_affinity_pred_value_fragment,lasso,boltz_affinity_pred_value_fragment,L2,5.510332700684011,0.002194062267264829,0.017562628610305813,0.3865813206416868,0.4825301877891236,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-06.980910.json
CVCL_0480,heldout_molecules,lasso_baseline_boltz_affinity_pred_value_protein,lasso,boltz_affinity_pred_value_protein,L2,5.5101907529212575,0.00219215592716575,0.01756854590622082,0.3869965726112642,0.4844064967965649,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-31.238850.json
CVCL_0480,heldout_molecules,lasso_baseline_chatgpt,lasso,chatgpt,L2,5.479775298481571,0.0021664045328636215,0.01749584840592282,0.3888323305351781,0.4887979692761282,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-39-46.478733.json
CVCL_0480,heldout_molecules,lasso_baseline_ecfp:2,lasso,ecfp:2,L2,5.511751530489407,0.002194732459336484,0.017564011975514892,0.3865751182361925,0.4820441578840581,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-35.659150.json
CVCL_0480,heldout_molecules,lasso_baseline_erg,lasso,erg,L2,5.5117515307560065,0.002194732459126168,0.01756401197583096,0.3865751173516742,0.4820441578375617,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-31.107642.json
CVCL_0480,heldout_molecules,lasso_baseline_maccs,lasso,maccs,L2,5.510345708519647,0.0021926616032142323,0.017562730100256746,0.38667139611989915,0.48264489827856816,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-39-54.580173.json
CVCL_0480,heldout_molecules,lasso_baseline_morgan_initialized_lpm,lasso,morgan_initialized_lpm,L2,5.5988029632193985,0.002205502945935913,0.017641187427486812,0.3885766029782972,0.45822286375503074,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-39-42.057486.json
CVCL_0480,heldout_molecules,lasso_baseline_pca,lasso,pca,L2,2.3359412523982823,0.00042068554641346375,0.008473762209310893,0.7271911513421931,0.9140718980825794,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-39-48.465318.json
CVCL_0480,heldout_molecules,lasso_baseline_random,lasso,random,L2,5.5117515307560065,0.002194732459126168,0.01756401197583096,0.3865751173516742,0.4820441578375617,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-39-41.302682.json
CVCL_0480,heldout_molecules,lasso_baseline_secfp,lasso,secfp,L2,5.510105999856323,0.00219256250920929,0.017563288958768603,0.38659749954864314,0.48261440972543945,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-32.558212.json
CVCL_0480,heldout_molecules,lasso_baseline_topological,lasso,topological,L2,5.5117515307560065,0.002194732459126168,0.01756401197583096,0.3865751173516742,0.4820441578375617,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-03.083249.json
CVCL_0480,heldout_molecules,lasso_baseline_unimol2-570m-H,lasso,unimol2-570m-H,L2,5.511555222273024,0.002194638952411701,0.017563897265879452,0.3865753028955502,0.48210211204129316,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0480.heldout_molecules/2026-05-26T00-40-41.901469.json
CVCL_0504,heldout_molecules,knn_baseline_ChemBERTa-77M-MLM,knn,ChemBERTa-77M-MLM,L2,5.410665173006735,0.00200361728038746,0.016919098337796906,0.34020745047343165,0.4501326493074126,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0504.heldout_molecules/2026-05-26T00-41-08.195579.json
CVCL_0504,heldout_molecules,knn_baseline_ChemBERTa-77M-MTR,knn,ChemBERTa-77M-MTR,L2,5.341366653403264,0.001981518981240832,0.016695102687656616,0.358399530689852,0.4755476980428033,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0504.heldout_molecules/2026-05-26T00-41-07.871645.json
CVCL_0504,heldout_molecules,knn_baseline_MiniMol,knn,MiniMol,L2,5.3070449718986765,0.001957471075129206,0.016602983139714405,0.3680491294379066,0.4870565349568834,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0504.heldout_molecules/2026-05-26T00-41-14.063597.json
